Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
20,96,84,69,74,74,4,74,75,1,5,0,1,0,2,1,5
19,70,52,69,74,74,4,74,75,1,16,1,0,3,1,5,8
23,78,86,69,74,74,4,74,75,1,17,0,0,3,2,3,5
19,89,88,69,74,74,4,74,75,1,26,1,1,3,1,9,8
19,84,89,69,74,74,4,74,75,1,28,0,1,0,1,8,8
20,99,68,69,74,74,4,74,75,1,16,0,1,0,2,9,4
20,50,51,69,74,74,4,74,75,1,12,1,1,2,2,9,6
20,67,45,69,74,74,4,74,75,1,13,0,1,3,1,10,7
24,64,84,69,74,74,4,74,75,1,19,0,1,3,0,3,7
20,63,93,69,74,74,4,74,75,1,11,1,0,0,1,7,7
19,61,79,98,61,88,4,90,50,0,27,1,1,0,0,5,6
22,85,48,79,77,98,9,66,62,1,15,1,0,0,2,6,8
22,54,96,67,94,54,9,85,77,3,29,1,1,1,0,8,5
20,87,99,49,79,91,3,71,53,1,7,0,1,2,1,10,4
24,84,66,71,95,68,1,90,80,0,9,0,0,2,2,8,8
21,62,75,49,67,57,3,64,83,3,17,1,0,3,2,7,7
18,62,86,65,84,74,3,96,98,4,26,1,0,0,0,1,7
23,81,84,64,82,53,6,78,94,2,13,1,0,2,2,1,8
24,88,98,83,83,76,4,67,78,3,25,0,1,0,0,6,6
21,93,46,51,82,50,7,70,89,0,15,0,1,0,1,9,5
23,92,74,89,61,86,7,67,68,2,26,1,1,3,2,8,8
21,98,81,59,57,74,2,57,79,3,11,0,1,3,1,1,5
21,79,93,66,98,72,7,53,70,1,16,1,0,2,0,8,4
22,95,92,86,52,59,8,66,66,0,12,0,1,2,0,5,5
18,90,98,77,73,68,5,72,86,3,10,0,0,1,1,2,8
21,94,70,58,71,59,9,68,64,0,15,0,1,2,0,7,4
20,50,89,63,68,86,7,50,69,4,13,1,1,2,0,2,7
23,98,65,58,89,59,5,78,68,2,24,1,0,0,1,4,5
24,73,65,75,87,80,9,57,93,2,23,1,1,0,1,4,7
22,89,55,59,95,63,6,60,58,4,14,0,1,0,2,5,6
23,56,89,83,69,82,5,56,69,2,29,0,0,2,2,6,7
20,69,99,74,78,77,3,76,94,2,29,1,1,2,1,2,5
20,63,55,48,94,71,8,54,50,4,27,1,1,3,2,8,4
21,64,43,58,99,83,1,62,97,1,19,1,1,0,0,9,4
20,56,88,53,98,70,4,72,94,2,15,0,0,3,2,3,8
18,90,77,63,85,91,5,58,70,1,12,0,0,2,2,7,7
20,50,97,70,57,86,5,72,82,0,5,0,1,0,0,4,5
21,65,55,70,51,77,6,67,99,0,20,0,1,2,1,10,8
23,58,44,85,91,93,5,93,77,2,18,1,1,1,0,4,8
20,79,69,51,92,91,2,89,54,0,20,0,1,3,2,1,4
22,62,45,96,87,76,8,99,92,4,19,1,0,0,0,5,7
24,62,55,60,64,53,6,76,56,2,8,0,0,0,1,6,5
22,74,47,58,81,78,8,78,62,4,22,1,0,2,2,5,6
22,82,53,81,65,67,2,97,93,1,14,1,1,2,1,6,6
23,56,46,88,72,77,6,69,62,3,17,0,0,0,1,3,7
19,58,97,62,69,82,7,77,87,3,14,0,0,0,0,2,5
24,62,56,84,95,82,3,68,72,2,5,0,1,3,1,5,4
22,98,66,93,61,83,8,77,87,4,26,0,0,0,0,6,7
22,69,93,86,78,83,0,54,61,3,8,1,1,2,0,10,8
19,79,80,42,68,55,5,89,70,2,19,0,1,3,2,6,7
23,62,77,89,83,59,6,99,65,3,27,0,1,0,1,5,6
24,74,82,86,78,81,5,53,62,3,10,0,0,2,1,2,4
22,53,89,80,96,70,6,90,65,0,15,0,0,0,1,1,7
21,51,92,85,55,88,1,62,66,2,14,0,1,0,1,10,7
23,73,78,98,61,56,6,59,97,3,7,0,0,2,1,6,7
24,69,93,65,88,59,3,84,76,2,15,1,0,3,0,1,8
22,56,72,44,68,77,4,52,73,0,17,1,1,3,2,1,7
22,84,56,67,58,75,3,73,75,2,5,1,0,1,2,6,7
19,99,92,42,75,63,4,50,99,0,17,0,0,0,1,1,5
24,69,72,57,82,70,6,77,82,3,7,1,1,3,0,2,5
21,81,94,75,52,51,8,73,85,3,27,0,1,0,0,1,5
23,98,42,58,64,51,4,95,65,3,21,1,0,3,1,7,7
20,91,63,81,90,54,3,86,73,0,6,1,1,0,2,4,7
18,73,96,89,76,78,4,56,59,1,25,0,1,0,1,4,5
21,86,54,65,51,93,6,67,84,0,14,1,1,0,0,4,4
20,56,96,94,64,63,3,96,67,0,10,0,0,1,1,5,8
21,75,97,44,81,51,4,86,87,4,11,0,1,0,1,9,5
24,63,92,90,59,85,5,79,60,3,19,1,1,0,1,5,4
20,58,73,89,91,92,2,77,70,3,7,1,0,0,0,10,4
24,71,78,59,83,56,2,69,73,4,6,1,0,0,2,2,8
20,56,92,57,73,69,1,79,58,1,20,1,0,0,1,8,4
21,84,86,58,95,57,3,88,53,2,29,1,0,3,2,8,5
19,72,77,88,69,55,0,56,65,3,17,0,1,2,2,9,7
21,76,98,89,61,82,5,98,77,3,15,1,0,0,0,4,6
24,57,81,59,83,98,1,61,82,0,28,0,1,0,1,3,6
21,56,98,75,78,83,3,72,71,1,11,0,1,2,1,10,8
20,79,43,48,66,99,2,51,75,1,11,0,0,3,2,6,9
18,99,48,68,67,71,6,77,77,1,27,1,0,1,2,1,6
20,54,67,99,69,94,8,69,75,1,21,1,0,0,2,6,5
22,64,63,49,64,60,6,62,54,4,6,1,1,0,0,5,6
21,93,86,96,85,55,5,99,70,0,21,0,1,3,0,1,5
23,53,49,89,82,85,6,71,60,4,25,1,0,0,2,6,6
21,93,98,98,72,68,0,70,76,4,11,1,1,0,0,3,5
19,76,58,50,69,65,1,73,87,2,14,1,1,2,0,8,6
24,70,65,52,68,83,0,55,78,0,9,0,0,2,0,3,8
23,65,56,41,64,66,0,69,61,1,20,0,0,0,1,3,5
20,64,74,83,54,78,2,66,60,0,21,1,0,1,0,7,7
19,65,43,78,63,64,5,73,51,1,6,1,0,0,2,1,6
21,94,48,50,66,89,1,92,71,2,21,1,1,1,1,10,7
20,86,84,87,77,65,9,59,71,3,21,0,0,3,2,10,6
20,83,51,57,88,76,8,80,61,4,5,1,0,1,0,8,4
22,89,54,48,69,51,9,51,88,2,18,0,1,3,2,4,8
22,62,87,65,97,89,0,65,69,4,20,0,0,0,2,5,7
18,80,45,45,91,81,8,73,83,1,15,0,1,0,0,5,6
22,73,66,55,99,59,8,53,82,1,27,0,1,2,2,4,8
24,89,41,62,93,60,9,77,80,2,13,0,1,0,0,1,8
23,65,60,91,80,63,5,65,95,3,6,0,1,2,0,3,6
20,82,81,87,79,78,7,99,50,3,21,1,0,1,0,8,5
22,94,45,66,56,77,0,81,53,4,20,0,1,0,2,2,7
18,70,93,83,86,63,0,62,86,1,29,0,0,0,2,8,6
21,53,94,74,80,84,1,55,67,1,10,0,1,0,2,4,4
23,75,46,60,75,94,9,52,99,3,14,1,1,0,1,9,5
22,67,99,83,84,52,0,54,60,1,16,0,0,3,2,8,8
20,83,57,81,72,70,1,84,59,1,26,0,1,1,0,8,7
21,97,45,77,76,79,9,92,79,2,15,0,0,0,0,4,8
24,74,40,77,69,79,1,57,63,3,24,0,1,0,1,2,4
20,73,64,80,85,50,8,70,67,3,8,1,1,3,1,8,5
21,82,77,63,93,60,7,67,96,0,15,0,1,2,1,7,5
24,55,59,92,92,53,0,82,51,3,8,0,1,2,1,2,8
24,62,90,49,89,78,0,59,76,3,28,0,0,0,2,7,4
23,95,83,93,50,82,5,97,66,0,9,1,0,0,2,1,7
20,83,61,60,95,57,9,86,67,1,15,1,1,3,0,6,7
22,50,84,47,63,66,8,97,62,1,7,0,0,3,2,7,7
22,60,96,76,94,66,3,63,56,4,28,1,0,2,1,2,7
18,84,45,62,59,90,3,79,51,1,20,1,1,3,1,2,6
21,88,58,88,71,59,3,86,99,3,29,0,0,2,1,8,4
18,91,67,65,87,77,7,85,83,4,6,0,1,2,1,2,7
19,64,69,80,82,89,3,51,88,4,9,0,0,0,2,10,5
22,96,72,58,70,91,1,99,53,1,14,1,1,1,0,2,4
21,77,58,52,83,83,7,96,50,4,20,1,0,0,0,5,4
23,84,80,63,77,64,4,55,80,0,13,1,1,1,2,4,5
18,79,78,76,63,91,0,77,86,4,22,1,0,3,1,1,6
23,56,74,79,82,87,7,65,69,2,9,0,0,1,2,8,8
23,98,46,74,60,85,5,93,69,0,20,0,0,1,2,4,6
23,56,68,99,84,53,4,84,69,3,14,1,0,2,0,9,6
18,62,61,81,50,52,6,61,57,1,17,0,1,0,2,2,5
19,90,69,95,77,84,5,51,87,1,19,0,0,3,1,2,8
24,80,95,47,70,97,6,64,60,2,6,0,1,0,2,6,8
24,91,68,43,65,88,8,51,66,1,28,1,0,2,0,2,8
18,75,40,58,75,91,6,57,83,3,24,0,0,0,0,2,5
24,68,66,48,82,77,6,81,50,4,16,0,0,0,0,6,6
20,96,89,71,98,65,6,87,88,1,18,1,0,1,2,6,5
24,51,86,71,91,83,5,73,94,3,5,0,1,1,1,8,6
22,92,70,74,85,85,1,80,52,0,17,0,1,0,1,10,4
18,61,54,84,73,83,3,57,79,3,15,1,0,3,1,1,4
24,92,67,98,69,97,6,65,70,2,14,0,0,2,0,1,8
18,56,73,92,51,68,4,85,53,3,25,0,1,1,0,7,7
19,79,99,47,67,51,4,68,84,1,9,1,0,0,0,9,4
20,94,78,60,92,95,7,67,80,4,9,0,0,2,1,7,8
18,73,81,55,69,58,0,59,82,3,18,0,0,2,0,4,4
22,87,69,50,73,84,6,79,90,2,22,1,1,0,0,9,7
24,90,61,72,63,93,4,90,64,0,5,1,1,1,2,6,7
22,86,88,73,63,65,3,73,83,2,18,1,1,3,0,10,4
24,96,69,53,53,91,3,55,87,0,12,1,0,1,0,1,6
18,72,99,82,80,66,1,91,58,3,23,1,1,1,1,6,4
23,58,67,83,72,89,3,53,97,4,16,1,0,1,1,10,4
24,52,44,41,80,53,3,73,67,2,25,1,1,1,2,6,4
23,62,80,63,77,82,4,63,85,4,14,1,1,0,1,1,5
20,57,42,93,89,83,6,96,87,3,25,0,0,0,1,8,8
22,77,55,71,87,74,4,86,75,4,22,1,0,3,0,5,5
23,59,61,60,88,84,7,78,56,4,25,1,1,3,2,4,7
22,51,84,55,74,96,6,83,63,2,25,0,1,0,0,10,4
24,51,69,54,67,86,1,76,61,3,17,1,1,3,0,1,8
24,91,41,45,96,98,2,57,75,4,14,1,1,0,2,5,6
20,79,77,89,52,72,0,85,63,0,24,1,0,0,1,1,4
24,67,64,45,57,76,9,74,77,1,14,1,0,3,2,3,6
20,94,95,57,70,63,8,81,64,0,7,0,1,3,0,10,4
23,53,69,42,80,99,0,52,50,4,26,1,1,1,2,1,5
24,99,82,86,50,52,5,57,68,3,14,1,0,0,1,10,7
18,80,53,42,85,67,9,79,80,0,8,1,1,2,2,3,5
21,59,85,58,77,64,7,72,88,3,21,1,1,0,0,2,5
19,83,83,74,74,69,4,61,51,0,27,0,0,1,0,4,6
21,88,94,64,71,95,2,62,62,3,26,1,1,0,0,7,5
21,71,42,56,75,68,2,81,99,4,18,0,1,1,0,1,4
22,93,66,56,58,95,7,52,63,2,7,1,0,1,1,7,6
20,57,80,87,55,71,7,71,88,0,22,0,0,0,2,6,4
22,63,45,98,64,92,5,76,75,3,20,1,0,3,2,4,8
23,54,64,60,85,76,1,65,56,0,10,1,0,3,2,9,6
19,60,96,42,79,65,9,91,82,3,27,0,0,0,1,7,4
23,61,66,42,74,72,8,52,98,3,7,1,0,1,2,10,5
18,95,99,85,78,71,1,93,94,2,14,1,0,0,2,10,8
19,53,43,73,77,63,0,86,84,3,7,0,1,3,1,5,6
22,71,83,87,65,64,5,72,75,0,27,1,0,2,0,2,5
24,76,74,81,54,59,2,96,65,4,5,1,0,0,0,1,5
24,94,70,94,94,66,2,85,67,1,15,1,0,1,1,2,6
22,99,98,93,80,81,0,96,67,3,26,0,0,2,1,9,5
23,87,47,87,84,69,9,73,96,1,11,0,0,0,0,2,7
22,98,93,68,73,85,8,72,60,4,7,1,0,0,1,5,6
22,89,81,58,87,99,1,76,68,1,8,0,1,2,2,8,7
21,98,55,70,79,68,8,53,71,3,15,0,0,1,2,8,5
18,85,94,70,52,73,6,95,70,0,15,0,1,2,1,9,4
24,53,65,76,94,58,3,83,50,2,23,0,0,0,0,4,8
21,70,88,51,65,69,8,80,63,3,10,1,1,3,2,10,6
22,82,63,79,56,86,5,96,74,3,22,1,1,3,0,7,4
20,67,91,67,54,60,8,99,88,2,30,0,1,3,2,9,4
21,63,78,77,86,59,4,58,78,2,26,0,0,0,0,7,6
22,78,48,54,85,68,5,87,69,2,20,1,1,0,1,1,7
24,96,78,66,85,90,2,79,83,2,28,0,1,0,2,6,6
22,51,51,52,95,81,3,73,83,2,29,1,0,2,2,2,8
18,88,64,92,67,97,5,98,62,3,19,1,0,0,2,7,5
23,86,50,69,78,95,9,92,55,1,11,1,0,3,1,9,4
19,98,41,53,80,57,6,84,90,0,27,1,1,0,1,7,4
21,96,52,42,98,52,1,69,76,3,26,1,0,1,0,8,8
21,88,72,80,65,69,0,83,58,4,7,1,1,3,0,2,8
21,76,68,52,97,76,8,76,63,3,28,1,1,1,0,10,4
22,60,70,99,57,75,3,62,88,3,14,1,0,0,2,5,4
18,77,54,72,88,56,3,72,82,1,13,0,0,3,0,10,8
22,88,81,57,81,56,8,60,97,2,13,1,1,0,0,1,4
22,94,82,79,90,52,9,75,73,4,13,0,1,1,2,3,5
23,89,61,56,51,92,7,86,52,1,17,0,0,0,0,1,8
20,59,92,89,53,97,1,51,85,0,19,0,1,3,2,2,9
18,79,78,58,53,55,3,88,62,4,15,0,0,0,2,4,6
21,66,82,99,79,60,7,51,66,4,15,0,0,3,0,6,5
19,50,56,76,80,54,9,75,59,1,23,1,1,2,0,1,8
21,60,40,90,95,93,9,78,65,4,5,1,0,0,0,9,6
22,55,91,44,73,97,5,88,91,3,28,1,1,2,1,1,5
18,92,89,60,53,63,8,88,78,3,22,0,1,1,0,8,6
24,62,47,84,60,65,0,70,55,2,22,1,0,0,1,1,8
18,64,62,79,50,68,2,53,79,1,15,0,1,0,2,1,5
18,98,79,51,88,75,3,84,81,3,29,1,0,1,2,8,6
20,68,79,61,90,84,9,75,94,4,5,0,0,0,0,2,6
21,50,91,55,99,75,0,66,92,4,6,0,0,3,0,1,8
20,64,48,76,70,97,3,61,53,3,25,0,0,2,0,7,7
24,55,65,60,50,54,9,55,93,1,23,1,0,0,1,1,7
24,55,45,58,61,89,3,64,52,1,11,0,0,3,2,4,7
23,53,63,52,79,66,2,72,57,0,19,1,0,0,1,10,7
19,79,40,64,98,68,7,73,55,1,18,1,0,1,0,10,4
23,59,93,51,55,85,7,79,59,3,18,0,0,1,1,9,8
22,68,71,97,56,96,4,68,90,0,19,0,1,0,2,10,7
20,93,90,49,85,85,9,95,84,4,29,1,0,3,0,3,7
20,71,43,94,83,88,2,74,84,3,29,0,0,0,1,6,7
23,95,53,65,62,87,9,71,96,2,29,1,1,2,2,10,5
22,74,55,62,90,66,7,52,69,2,18,1,1,3,0,9,6
18,69,63,53,56,87,3,79,50,1,13,1,1,1,0,4,6
22,87,88,78,96,89,8,80,81,0,19,1,0,3,0,3,5
21,53,63,81,60,76,1,79,93,0,20,0,0,2,0,5,5
23,54,52,68,54,76,1,94,98,4,12,0,1,3,1,7,7
22,82,43,43,66,87,9,88,68,1,20,1,0,0,1,5,7
18,74,44,95,59,90,0,93,91,0,20,0,1,2,0,4,8
22,89,85,98,76,66,0,52,92,3,27,0,1,0,0,1,7
20,95,66,65,84,90,3,65,57,4,10,0,0,1,1,6,5
19,69,83,76,74,90,1,65,81,0,22,1,1,3,1,4,5
20,79,80,67,83,61,8,82,58,2,16,1,0,2,0,6,6
24,75,48,59,68,85,9,72,72,2,8,1,0,0,0,6,8
19,99,48,44,51,59,4,88,93,0,12,1,0,0,1,4,5
24,91,85,67,98,54,4,69,89,2,6,0,1,0,1,8,7
22,95,83,89,90,78,5,61,78,3,13,1,0,1,1,4,5
21,62,62,41,53,95,2,64,90,4,6,1,0,0,1,5,5
22,88,44,74,72,51,2,59,57,3,28,0,0,1,0,5,7
18,63,40,92,81,91,1,59,59,2,7,1,1,2,1,2,7
22,60,57,53,59,75,4,60,60,0,25,1,1,3,0,8,5
19,97,40,51,78,93,6,50,88,0,27,1,1,0,1,8,8
20,50,53,86,76,92,9,85,94,4,16,1,1,0,1,10,7
21,98,65,55,60,93,7,69,78,2,6,1,1,3,2,8,8
24,57,47,51,57,88,7,51,97,2,19,0,1,0,2,1,6
22,90,46,62,87,92,3,68,86,2,10,0,1,0,2,7,5
22,63,93,63,66,58,8,95,78,1,9,1,0,0,1,3,8
20,67,75,92,62,65,9,75,80,0,19,0,1,0,2,1,6
21,60,96,77,86,62,9,99,92,2,13,0,1,3,2,5,8
23,79,60,64,86,87,0,77,54,4,23,0,1,2,0,4,5
24,67,80,72,63,57,6,98,58,1,19,1,1,0,2,7,8
22,82,52,97,93,59,6,60,63,2,25,0,0,2,2,1,5
22,50,77,46,84,93,2,64,94,0,6,0,1,1,0,1,5
23,53,47,52,67,85,9,85,97,1,10,0,0,3,1,8,5
24,54,40,97,71,93,2,99,67,3,19,0,1,0,2,4,8
19,70,95,97,86,56,2,91,96,4,27,1,1,3,0,9,4
19,90,73,50,60,69,4,77,77,0,25,1,0,2,0,10,6
18,94,95,48,73,64,3,54,73,3,22,0,1,2,2,10,5
20,62,60,65,82,50,9,68,91,0,19,0,1,3,0,5,4
21,78,59,42,76,64,4,54,77,4,20,1,1,3,2,6,7
22,88,64,79,80,68,4,65,72,2,10,1,0,2,1,2,8
24,64,82,44,77,54,6,62,50,3,19,0,1,3,2,3,5
22,70,73,43,59,78,0,69,50,3,17,0,0,2,1,7,6
18,76,95,69,70,69,7,91,81,1,14,0,1,1,0,7,6
24,56,41,97,76,52,7,57,53,2,27,0,0,2,0,6,6
24,51,82,65,89,85,4,65,86,4,25,0,1,0,1,4,8
22,57,59,61,82,86,9,63,81,1,6,1,1,2,2,10,6
20,81,50,99,71,91,5,64,72,3,29,1,0,1,2,4,8
18,53,70,71,98,74,6,68,85,0,10,0,0,2,2,8,5
20,59,70,62,55,98,9,62,99,4,10,0,1,3,0,9,4
18,66,48,63,60,95,6,97,62,1,28,1,1,1,0,8,6
22,53,52,51,67,77,4,71,77,2,16,0,0,0,1,8,8
18,59,64,70,61,72,0,55,92,0,25,1,0,2,2,5,5
19,95,64,66,81,50,7,73,50,1,12,0,1,3,0,2,4
24,50,59,56,51,85,9,59,60,4,26,0,1,0,0,10,7
21,82,48,49,58,78,4,60,76,0,25,1,0,0,0,2,5
22,69,40,58,64,96,3,64,77,1,18,1,1,0,1,2,7
23,83,98,70,84,79,5,56,54,1,22,0,0,0,0,6,5
21,79,96,43,93,99,7,86,70,4,29,1,1,3,1,10,6
22,61,69,49,89,92,0,89,75,2,16,1,1,0,1,5,8
21,92,99,96,59,97,8,69,71,0,17,1,1,3,1,4,5
19,74,80,72,78,66,8,84,85,1,23,0,1,3,2,4,8
21,91,44,43,51,57,5,69,88,4,14,0,1,1,2,8,5
18,70,47,81,65,89,1,58,73,1,29,1,0,0,0,10,7
21,99,94,43,90,89,6,69,71,4,6,0,0,2,2,2,5
22,88,77,84,72,60,1,77,85,4,15,1,0,1,2,5,4
23,98,90,85,57,88,5,52,77,1,22,1,1,2,0,7,7
23,75,93,79,71,79,0,82,93,4,15,1,0,0,1,7,7
20,73,66,83,59,55,5,87,74,0,11,1,1,3,1,8,6
24,87,42,45,69,75,3,93,78,4,15,1,1,1,0,3,4
21,94,51,83,74,96,8,55,56,2,27,0,1,0,0,2,6
23,98,43,48,67,75,8,50,91,2,18,0,1,3,2,8,4
21,66,51,60,96,89,9,53,71,4,13,0,0,0,1,9,5
24,89,64,96,78,51,2,96,85,0,21,0,1,3,2,1,6
23,60,47,70,92,86,0,88,71,3,20,1,1,3,1,9,8
24,77,50,98,88,97,4,91,50,3,19,0,0,0,1,8,6
21,58,66,45,83,74,0,75,70,0,14,1,1,1,2,7,5
22,67,60,68,74,66,1,76,57,2,6,1,0,2,1,8,8
21,96,68,43,50,82,5,64,69,4,20,1,0,0,1,3,4
24,57,65,77,80,95,5,92,66,1,15,0,0,2,1,2,7
22,81,78,44,67,58,0,91,60,4,15,0,0,3,2,4,5
22,79,96,50,55,70,4,69,56,4,10,1,1,0,2,7,7
20,56,46,55,72,57,5,66,86,3,11,0,0,2,0,2,5
23,66,45,84,86,74,2,86,87,4,24,0,1,0,1,7,6
18,78,91,49,98,77,8,51,63,3,17,1,1,2,1,7,7
22,59,70,90,68,97,1,93,74,1,7,0,0,0,1,10,8
24,90,85,47,77,70,2,72,73,4,6,0,1,0,2,9,4
23,98,52,42,92,78,1,72,67,0,10,0,1,2,1,3,5
19,60,89,63,66,94,1,83,63,4,17,1,0,0,2,9,4
21,59,95,98,57,66,8,82,59,0,20,1,0,0,2,7,8
24,72,78,46,64,83,2,63,93,3,8,0,1,0,2,8,8
19,87,46,46,94,87,7,97,91,4,15,0,0,2,2,3,5
24,64,93,85,57,66,4,99,70,3,6,0,1,2,0,5,5
21,50,87,58,66,58,6,76,86,0,5,0,0,1,2,7,6
20,77,85,83,73,75,9,78,74,3,26,0,0,0,0,8,6
24,97,42,52,92,67,8,77,54,2,21,0,1,2,2,6,6
22,69,87,67,96,63,0,74,91,0,24,1,1,3,2,6,6
18,71,48,55,71,98,8,97,60,3,9,0,1,1,1,5,4
22,98,53,67,96,75,4,62,85,4,13,1,0,2,2,4,4
21,84,74,86,58,92,3,55,76,3,16,0,0,0,1,7,7
24,85,55,85,57,59,6,96,84,1,21,1,1,3,2,10,8
18,78,79,70,97,96,9,60,73,0,18,1,0,2,0,5,8
22,98,76,95,75,89,0,87,85,3,18,1,1,0,0,8,7
18,84,46,55,59,90,7,60,51,2,8,0,0,0,0,1,8
21,94,79,54,74,69,2,98,52,1,16,1,1,3,2,8,4
20,84,95,76,89,74,3,89,94,0,25,1,1,3,1,5,5
20,86,49,77,91,79,8,95,87,1,17,1,0,3,2,4,5
24,64,75,42,93,89,5,97,91,4,10,1,0,3,1,6,5
22,65,60,76,78,92,0,54,72,2,15,0,0,0,0,7,8
19,89,67,62,93,53,5,71,72,4,23,1,1,0,1,3,5
21,64,57,84,75,95,7,82,76,3,8,1,1,2,0,4,6
22,78,61,88,80,96,5,90,62,1,19,1,0,2,1,7,7
22,62,41,73,87,79,1,62,86,4,29,1,1,0,1,7,8
20,90,98,40,71,59,4,95,91,3,14,1,1,2,1,3,7
24,55,77,78,53,90,9,61,95,2,6,0,0,0,0,9,5
18,91,70,84,67,77,6,93,75,4,20,1,0,1,0,3,7
21,80,63,54,81,90,7,75,70,1,6,0,0,0,0,8,6
18,59,72,67,59,90,7,75,91,4,9,0,1,2,0,8,6
23,77,62,97,57,54,0,68,87,2,6,1,1,1,1,3,5
23,64,61,57,64,80,5,55,93,3,9,0,1,2,0,7,4
21,66,67,53,51,74,3,67,82,4,26,0,1,0,2,3,5
24,67,56,52,87,97,1,71,94,4,23,1,1,2,1,2,5
19,53,50,73,62,64,2,73,54,0,13,1,0,1,2,7,4
23,99,73,96,56,60,7,86,83,3,27,1,1,0,0,8,5
20,51,90,76,84,94,1,67,54,0,21,0,1,2,1,9,8
19,83,49,58,92,57,3,70,87,0,16,1,0,0,0,1,5
22,68,41,78,50,84,2,95,81,2,6,0,1,2,1,9,6
23,82,54,77,61,65,0,87,50,2,23,1,1,3,1,2,6
20,67,98,75,97,78,4,51,79,1,14,1,0,2,0,3,6
22,83,89,49,69,80,7,90,57,3,12,0,0,3,0,8,4
19,86,75,78,96,70,0,99,57,3,12,1,1,2,1,2,7
21,84,95,65,63,98,1,96,57,2,5,0,0,2,2,7,7
