Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,3,1,24,0,0,652,8,47,2
1,1,0,23,3,2,95,263,63,2
0,3,1,24,0,0,297,8,47,2
0,3,1,29,0,0,298,8,47,2
0,3,1,20,0,0,341,7,47,2
0,1,1,46,1,0,678,61,122,2
0,3,1,26,1,2,548,20,47,2
0,3,1,59,0,0,428,7,47,2
0,3,1,24,0,0,475,8,47,2
0,1,1,71,0,0,607,34,12,0
1,1,1,23,0,1,612,63,91,0
1,2,0,34,0,1,117,23,47,2
0,2,1,34,1,0,150,26,47,2
0,3,0,28,0,0,384,7,47,2
0,3,1,24,0,0,361,7,47,2
0,1,1,21,0,1,417,77,98,2
0,3,1,33,0,0,505,8,47,2
0,3,1,37,2,0,245,7,47,2
0,3,1,28,0,0,354,7,47,2
1,3,0,21,0,0,296,7,47,2
1,3,1,24,0,0,254,7,47,2
0,3,1,38,0,0,388,7,47,2
1,3,0,24,1,0,469,24,47,1
0,1,1,47,0,0,2,52,52,2
0,3,0,14,1,0,193,14,47,0
0,3,1,22,0,0,274,8,47,2
0,3,0,20,1,0,491,9,47,2
0,3,0,17,0,0,176,14,47,0
0,3,1,21,0,0,666,7,47,2
0,3,1,70,0,0,460,7,47,1
0,2,1,29,1,0,53,21,47,2
0,1,1,24,0,1,585,247,36,0
0,3,0,2,4,2,333,31,47,2
0,2,1,21,2,0,621,73,47,2
0,3,1,24,0,0,540,8,47,2
0,2,1,32,1,0,132,30,47,0
1,2,0,32,0,0,219,13,116,2
0,1,1,54,0,1,417,77,98,2
1,3,1,12,1,0,186,11,47,0
0,3,1,24,0,0,463,7,47,1
1,3,1,24,0,0,541,7,47,2
1,3,0,24,1,1,196,22,138,0
0,3,1,45,0,0,318,6,47,2
0,3,1,33,0,0,380,7,47,0
0,3,1,20,0,0,640,7,47,2
0,3,0,47,1,0,537,14,47,2
1,2,0,29,1,0,111,26,47,2
0,2,1,25,0,0,552,13,47,2
0,2,1,23,0,0,630,15,47,0
1,1,0,19,0,2,55,26,107,2
0,1,1,37,1,0,49,53,55,2
0,3,1,16,0,0,504,9,47,2
0,1,1,24,0,0,592,79,45,0
0,3,0,24,0,2,203,15,47,0
1,3,0,22,0,0,332,7,47,2
1,3,0,24,1,0,668,15,47,2
0,3,1,19,0,0,438,6,47,1
0,2,1,18,0,0,118,11,47,2
0,2,1,19,1,1,558,36,47,2
1,3,1,27,0,0,405,7,47,2
0,3,0,9,2,2,676,34,47,2
0,2,1,36,0,2,113,26,141,2
0,2,1,42,0,0,147,13,47,2
0,2,1,51,0,0,622,12,47,2
1,1,0,22,1,0,36,66,61,2
0,3,1,55,0,0,516,8,47,2
0,3,1,40,0,2,538,14,47,2
0,3,1,24,0,0,573,7,47,2
0,1,1,51,0,1,595,61,47,0
1,3,0,16,0,0,418,7,47,1
0,3,1,30,0,0,654,8,47,2
0,3,1,24,0,0,258,8,47,2
0,3,1,24,8,2,568,69,47,2
0,3,1,44,0,1,470,16,47,2
1,2,0,40,0,0,559,15,47,2
0,3,1,26,0,0,323,7,47,2
0,3,1,17,0,0,265,8,47,2
0,3,1,1,4,1,249,39,47,2
1,3,1,9,0,2,423,20,47,2
1,1,0,24,0,1,28,55,123,2
0,3,0,45,1,4,337,27,47,2
0,1,1,24,0,0,576,25,47,2
0,3,1,28,0,0,80,56,47,2
0,1,1,61,0,0,5,33,18,2
0,3,1,4,4,1,480,29,47,1
1,3,0,1,1,1,344,11,47,2
0,3,1,21,0,0,659,7,47,2
0,1,1,56,0,0,90,30,14,0
0,3,1,18,1,1,412,7,47,2
0,3,1,24,3,1,488,25,47,2
0,1,0,50,0,0,593,28,69,0
0,2,1,30,0,0,169,13,47,2
0,3,1,36,0,0,574,0,47,2
0,3,0,24,8,2,568,69,47,2
0,2,1,24,0,0,629,15,47,0
0,3,1,9,4,2,329,31,47,2
1,2,1,1,2,1,114,39,144,2
1,3,0,4,0,2,271,22,47,2
0,1,1,24,0,0,34,50,9,2
1,3,0,24,1,0,459,15,47,1
1,1,1,45,0,0,11,26,47,2
0,3,1,40,1,1,435,15,47,1
0,3,1,36,0,0,386,7,47,2
1,2,0,32,0,0,122,13,47,2
0,2,1,19,0,0,227,13,47,2
1,3,0,19,1,0,406,7,47,2
1,2,1,3,1,1,113,26,141,2
1,1,0,44,0,0,604,27,28,0
1,1,0,58,0,0,586,146,43,0
0,3,1,24,0,0,452,7,47,1
0,3,1,42,0,1,494,8,47,2
1,3,0,24,0,0,461,7,47,1
0,2,0,24,0,0,160,13,47,2
0,3,1,28,0,0,306,9,47,2
0,3,1,24,8,2,568,69,47,2
0,3,1,34,0,0,242,6,47,2
0,3,1,45,0,0,177,7,47,0
1,3,1,18,0,0,530,8,47,2
0,3,0,2,0,1,316,10,145,2
0,3,1,32,1,0,247,15,47,2
1,3,1,26,0,0,216,18,47,0
1,3,0,16,0,0,445,7,47,1
1,1,1,40,0,0,17,31,8,0
0,3,1,24,0,0,642,7,47,2
1,2,0,35,0,0,570,21,47,2
0,3,1,22,0,0,526,7,47,2
0,2,1,30,0,0,163,13,47,2
0,3,1,24,1,0,443,7,47,1
1,1,0,31,1,0,416,113,103,0
1,3,0,27,0,0,670,7,47,2
0,2,1,42,1,0,142,27,47,2
1,1,0,32,0,0,63,76,93,0
0,2,1,30,0,0,679,10,47,2
1,3,1,16,0,0,653,8,47,2
0,2,1,27,0,0,105,13,47,2
0,3,1,51,0,0,102,8,47,2
0,3,1,24,0,0,375,7,47,2
1,1,1,38,1,0,93,90,87,2
0,3,1,22,0,0,615,9,47,2
1,2,1,19,0,0,672,10,47,2
0,3,1,20,0,0,525,7,47,2
0,2,1,18,0,0,125,13,47,2
0,3,0,24,3,1,488,25,47,2
1,1,0,35,1,0,457,83,80,2
0,3,1,29,0,0,322,7,47,2
0,2,1,59,0,0,128,13,47,2
1,3,0,5,4,2,329,31,47,2
0,2,1,24,0,0,554,10,47,2
0,3,0,24,0,0,677,7,47,2
0,2,1,44,1,0,198,26,47,2
1,2,0,8,0,2,556,26,47,2
0,2,1,19,0,0,231,10,47,2
0,2,1,33,0,0,636,12,47,2
0,3,0,24,1,0,193,14,47,0
1,3,0,24,1,0,444,15,47,1
0,2,1,29,0,0,674,10,47,2
0,3,1,22,0,0,658,7,47,2
0,3,1,30,0,0,213,7,47,0
0,1,1,44,2,0,92,90,78,1
0,3,0,25,0,0,325,7,47,2
1,2,0,24,0,2,166,14,47,2
1,1,1,37,1,1,54,52,102,2
0,2,1,54,1,0,144,26,47,2
0,3,1,24,0,0,422,7,47,2
0,3,0,29,1,1,316,10,145,2
0,1,1,62,0,0,31,26,83,2
0,3,1,30,1,0,536,16,47,2
0,3,0,41,0,2,458,20,47,2
1,3,0,29,0,2,185,15,47,0
1,1,0,24,0,0,589,79,47,0
1,1,0,30,0,0,0,86,40,2
1,1,0,35,0,0,608,512,47,0
1,2,0,50,0,1,115,26,47,2
0,3,1,24,0,0,482,7,47,1
1,3,1,3,4,2,329,31,47,2
0,1,1,52,1,1,1,79,134,2
0,1,1,40,0,0,16,0,46,2
0,3,0,24,0,0,478,7,47,1
0,2,1,36,0,0,546,10,47,2
0,3,1,16,4,1,249,39,47,2
1,3,1,25,1,0,334,7,47,2
1,1,0,58,0,1,588,153,57,2
1,1,0,35,0,0,613,135,89,2
0,1,1,24,0,0,47,31,47,2
1,3,1,25,0,0,574,0,47,2
1,2,0,41,0,1,162,19,47,2
0,1,1,37,0,1,594,29,54,0
1,3,0,24,0,0,465,7,47,1
1,1,0,63,1,0,71,77,113,2
0,3,0,45,0,0,326,7,47,2
0,2,1,24,0,0,135,0,47,2
0,3,1,7,4,1,480,29,47,1
1,3,0,35,1,1,551,20,47,2
0,3,1,65,0,0,290,7,47,1
0,3,1,28,0,0,340,7,47,2
0,3,1,16,0,0,310,9,47,2
1,3,1,19,0,0,533,8,47,2
0,1,1,24,0,0,24,26,3,2
0,3,1,33,0,0,378,8,47,0
1,3,1,30,0,0,308,9,47,2
0,3,1,22,0,0,353,7,47,2
1,2,1,42,0,0,134,13,47,2
1,3,0,22,0,0,464,7,47,1
1,1,0,26,0,0,91,78,47,2
1,1,0,19,1,0,64,91,31,0
0,2,1,36,0,0,635,12,90,0
0,3,0,24,0,0,376,8,47,2
0,3,1,24,0,0,374,7,47,2
0,1,1,24,0,0,606,27,47,0
0,3,1,23,0,0,212,7,47,0
0,1,0,2,1,2,37,151,62,2
1,1,1,24,0,0,98,30,51,2
1,1,0,50,0,1,585,247,36,0
1,3,0,24,0,0,513,7,47,1
1,3,1,24,2,0,441,23,47,1
0,3,1,19,0,0,574,0,47,2
1,2,0,24,0,0,109,12,116,1
0,3,1,24,0,0,527,8,47,2
1,1,1,0,1,2,37,151,62,2
1,1,0,24,0,0,83,110,47,0
1,1,0,17,1,0,611,108,74,0
0,2,1,30,1,0,575,24,47,0
1,1,0,30,0,0,584,56,125,0
1,1,0,24,0,0,59,83,72,0
1,1,0,18,2,2,602,262,35,0
0,2,0,26,1,1,167,26,47,2
0,3,1,28,0,0,382,7,47,2
0,2,1,43,1,1,571,26,47,2
1,3,0,26,0,0,343,7,47,2
1,2,0,24,1,0,150,26,47,2
0,2,1,54,0,0,232,14,47,2
1,1,0,31,0,2,453,164,76,2
1,1,0,40,1,1,81,134,124,0
0,3,1,22,0,0,524,7,47,2
0,3,1,27,0,0,365,7,47,2
1,2,0,30,0,0,124,12,47,1
1,2,0,22,1,1,158,29,47,2
0,3,1,24,8,2,568,69,47,2
1,1,0,36,0,0,613,135,65,0
0,3,1,61,0,0,299,6,47,2
1,2,0,36,0,0,229,13,90,2
1,3,0,31,1,1,423,20,47,2
1,1,0,16,0,1,7,57,17,0
1,3,0,24,2,0,441,23,47,1
0,1,1,45,0,0,20,28,56,2
0,1,1,38,0,1,588,153,85,2
0,3,1,16,2,0,302,18,47,2
1,1,0,24,1,0,605,133,47,2
0,3,1,24,0,0,370,7,47,2
0,1,1,29,1,0,36,66,61,2
1,1,0,41,0,0,81,134,127,0
1,3,1,45,0,0,510,8,47,2
0,1,1,45,0,0,39,35,146,2
1,2,1,2,1,1,113,26,141,2
1,1,0,24,3,2,95,263,63,2
0,2,1,28,0,0,159,13,47,2
0,2,1,25,0,0,149,13,47,2
0,2,1,36,0,0,112,13,47,2
1,2,0,24,0,0,157,13,142,2
1,2,0,40,0,0,257,13,47,2
1,3,0,24,1,0,483,16,47,2
1,3,1,3,1,1,562,15,47,2
0,3,1,42,0,0,262,8,47,2
0,3,1,23,0,0,503,9,47,2
0,1,1,24,0,0,30,35,59,2
0,3,1,15,1,1,214,7,47,0
0,3,1,25,1,0,377,17,47,2
0,3,1,24,0,0,182,7,47,0
0,3,1,28,0,0,314,9,47,2
1,1,0,22,0,1,28,55,123,2
0,2,0,38,0,0,131,13,47,2
1,3,0,24,0,0,279,7,47,1
1,3,0,24,0,0,285,7,47,1
0,3,1,40,1,4,337,27,47,2
0,2,1,29,1,0,633,27,47,0
0,3,0,45,0,1,211,14,47,0
0,3,1,35,0,0,641,7,47,2
0,3,1,24,1,0,459,15,47,1
0,3,1,30,0,0,544,7,47,2
1,1,0,60,1,0,4,75,104,0
1,3,0,24,0,0,175,7,47,0
1,3,0,24,0,0,78,7,47,1
1,1,0,24,0,0,581,69,24,0
1,1,1,25,1,0,58,55,131,0
0,3,1,18,1,0,244,6,47,2
0,3,1,19,0,0,273,8,47,2
0,1,1,22,0,0,613,135,47,0
0,3,0,3,3,1,395,21,47,2
1,1,0,24,1,0,600,82,47,0
1,3,0,22,0,0,545,7,47,2
0,1,1,27,0,2,27,211,79,0
0,3,1,20,0,0,183,4,47,0
0,3,1,19,0,0,324,7,47,2
1,1,0,42,0,0,610,227,47,0
1,3,0,1,0,2,187,15,47,0
0,3,1,32,0,0,665,7,47,2
1,1,0,35,1,0,43,52,47,2
0,3,1,24,0,0,371,7,47,2
0,2,1,18,0,0,621,73,47,2
0,3,1,1,5,2,566,46,47,2
1,2,0,36,0,0,220,13,47,2
0,3,1,24,0,0,447,7,47,1
1,2,0,17,0,0,625,12,47,0
1,1,1,36,1,2,33,120,47,2
1,3,1,21,0,0,401,7,47,2
0,3,1,28,2,0,246,7,47,2
1,1,0,23,1,0,416,113,103,0
1,3,0,24,0,2,616,16,145,2
0,3,1,22,0,0,410,7,47,2
0,3,0,31,0,0,414,7,47,2
0,2,1,46,0,0,226,26,47,2
0,2,1,23,0,0,146,10,47,2
1,2,0,28,0,0,140,12,47,2
1,3,1,39,0,0,663,7,47,2
0,3,1,26,0,0,292,8,47,2
0,3,0,21,1,0,492,9,47,2
0,3,1,28,1,0,668,15,47,2
0,3,0,20,0,0,267,8,47,2
0,2,1,34,1,0,230,21,47,2
0,3,1,51,0,0,321,7,47,2
1,2,1,3,1,1,237,18,47,2
0,3,1,21,0,0,255,7,47,2
0,3,0,24,3,1,488,25,47,2
0,3,1,24,0,0,367,7,47,2
0,3,1,24,0,0,487,6,47,1
1,1,0,33,1,0,92,90,78,1
0,2,1,24,0,0,135,0,47,2
1,3,1,44,0,0,655,7,47,2
0,3,0,24,0,0,295,8,47,2
1,2,0,34,1,1,224,32,47,2
1,2,0,18,0,2,168,13,47,2
0,2,1,30,0,0,225,13,47,2
0,3,0,10,0,2,307,24,47,2
0,3,1,24,0,0,392,7,47,0
0,3,1,21,0,0,534,7,47,1
0,3,1,29,0,0,259,7,47,2
0,3,0,28,1,1,331,14,47,2
0,3,1,18,1,1,458,20,47,2
0,3,1,24,0,0,521,7,47,2
1,2,0,28,1,0,100,26,47,2
1,2,0,19,0,0,170,26,47,2
0,3,1,24,0,0,437,7,47,1
1,3,1,32,0,0,644,8,115,2
1,1,1,28,0,0,3,26,71,2
1,3,0,24,1,0,476,16,47,2
1,2,0,42,1,0,627,26,47,2
0,3,1,17,0,0,657,7,47,2
0,1,1,50,1,0,72,55,128,2
1,1,0,14,1,2,33,120,47,2
0,3,0,21,2,2,676,34,47,2
1,2,0,24,2,3,237,18,47,2
0,1,1,64,1,4,95,263,63,2
0,2,1,31,0,0,547,10,47,2
1,2,0,45,1,1,571,26,47,2
0,3,1,20,0,0,305,9,47,2
0,3,1,25,1,0,328,7,47,2
1,2,0,28,0,0,116,13,47,2
1,3,1,24,0,0,499,8,47,2
1,1,1,4,0,2,289,81,10,2
1,2,0,13,0,1,162,19,47,2
1,1,1,34,0,0,45,26,47,2
1,3,0,5,2,1,194,19,47,0
1,1,1,52,0,0,40,30,50,2
0,2,1,36,1,2,561,27,47,2
0,3,1,24,1,0,497,19,47,2
0,1,1,30,0,0,22,27,53,0
1,1,1,49,1,0,84,89,86,0
0,3,1,24,0,0,528,8,47,2
1,3,1,29,0,0,379,7,47,0
0,1,1,65,0,0,73,26,126,2
1,1,0,24,1,0,86,51,97,2
1,2,0,50,0,0,572,10,47,2
0,3,1,24,0,0,468,7,47,1
1,1,1,48,0,0,96,26,117,2
0,3,1,34,0,0,429,8,47,2
0,1,1,47,0,0,6,38,133,2
0,2,1,48,0,0,121,13,47,2
0,3,1,24,0,0,539,8,47,2
0,3,1,38,0,0,639,7,47,2
0,2,1,24,0,0,135,0,47,2
0,1,1,56,0,0,44,26,47,2
0,3,1,24,0,0,421,7,47,1
1,3,0,0,2,1,194,19,47,0
0,3,1,24,0,0,272,7,47,2
0,3,1,38,0,0,263,8,47,2
1,2,0,33,1,2,561,27,47,2
1,2,0,23,0,0,628,13,90,0
0,3,0,22,0,0,509,9,47,2
0,1,1,24,0,0,2,52,1,2
0,2,1,34,1,0,252,21,47,2
0,3,1,29,1,0,315,7,47,2
0,3,1,22,0,0,411,7,47,2
1,3,0,2,0,1,251,12,47,2
0,3,1,9,5,2,566,46,47,2
0,2,1,24,0,0,136,0,47,2
0,3,1,50,0,0,531,8,47,2
1,3,0,63,0,0,489,9,47,2
1,1,1,25,1,0,64,91,31,0
0,3,0,24,3,1,488,25,47,2
1,1,0,35,1,0,93,90,87,2
0,1,1,58,0,0,61,29,25,0
0,3,1,30,0,0,517,8,47,2
1,3,1,9,1,1,562,15,47,2
0,3,1,24,1,0,498,19,47,2
0,3,1,21,0,0,649,7,47,2
0,1,1,55,0,0,41,30,64,2
0,1,1,71,0,0,603,49,47,0
0,3,1,21,0,0,518,8,47,2
0,3,1,24,0,0,176,14,47,0
1,1,0,54,1,0,454,78,96,0
0,3,1,24,0,0,564,15,47,2
0,1,0,25,1,2,37,151,62,2
0,3,1,24,0,0,402,7,47,2
0,3,1,17,0,0,261,8,47,2
0,3,0,21,0,0,433,7,47,1
0,3,0,24,0,0,276,7,47,1
0,3,0,37,0,0,490,9,47,2
1,1,0,16,0,0,0,86,42,2
0,1,1,18,1,0,611,108,74,0
1,2,0,33,0,2,180,26,47,2
1,1,1,24,0,0,10,26,47,2
0,3,1,28,0,0,542,22,47,2
1,3,1,26,0,0,80,56,47,2
1,3,1,29,0,0,479,7,47,1
0,3,1,24,0,0,648,8,47,2
1,1,1,36,0,0,577,26,121,2
1,1,0,54,1,0,599,59,47,0
0,3,1,24,0,0,356,7,47,2
0,1,1,47,0,0,456,34,106,2
1,2,0,34,0,0,560,10,142,2
0,3,1,24,0,0,469,24,47,1
1,2,0,36,1,0,110,26,47,2
0,3,1,32,0,0,381,7,47,2
1,1,0,30,0,0,67,93,39,2
0,3,1,22,0,0,390,7,47,2
0,3,1,24,0,0,173,7,47,0
1,1,0,44,0,1,7,57,17,0
0,3,1,24,0,0,217,7,47,0
0,3,1,40,0,0,446,7,47,1
1,2,0,50,0,0,673,10,47,2
0,1,1,24,0,0,583,221,88,2
0,3,1,39,0,0,250,7,47,2
0,2,1,23,2,1,235,11,47,2
1,2,0,2,1,1,180,26,47,2
0,3,1,24,0,0,181,7,47,0
0,3,1,17,1,1,210,7,47,0
1,3,0,24,0,2,196,22,47,0
0,3,0,30,0,0,260,8,47,2
1,2,0,7,0,2,571,26,47,2
0,1,1,45,0,0,21,26,26,2
1,1,0,30,0,0,614,106,47,0
0,3,1,24,0,0,426,14,47,2
1,1,0,22,0,2,75,49,27,0
1,1,0,36,0,2,680,71,20,2
0,3,0,9,4,2,333,31,47,2
0,3,0,11,4,2,333,31,47,2
1,2,1,32,1,0,233,26,47,2
0,1,1,50,1,0,614,106,82,0
0,1,1,64,0,0,501,26,47,2
1,2,0,19,1,0,233,26,47,2
1,2,1,24,0,0,631,13,47,0
0,3,1,33,1,1,423,20,47,2
1,2,1,8,1,1,558,36,47,2
1,1,1,17,0,2,83,110,77,0
0,2,1,27,0,0,148,26,47,2
0,3,1,24,0,0,284,7,47,1
1,3,1,22,0,0,171,7,47,0
1,3,0,22,0,0,335,7,47,2
0,1,1,62,0,0,52,26,47,2
1,1,0,48,1,0,57,39,2,0
0,1,1,24,0,0,610,227,47,0
1,1,0,39,1,1,1,79,134,2
1,3,0,36,1,0,300,17,47,2
0,3,1,24,0,0,471,7,47,1
0,3,1,40,0,0,389,7,47,2
0,2,1,28,0,0,103,13,47,2
0,3,1,24,0,0,651,8,47,2
0,3,0,24,0,0,645,8,47,2
0,3,1,24,2,0,519,24,47,2
0,3,1,19,0,0,352,7,47,2
0,3,0,29,0,4,395,21,47,2
0,3,1,24,0,0,207,7,47,0
1,3,1,32,0,0,415,7,47,2
1,2,1,62,0,0,624,10,47,2
1,1,0,53,2,0,60,51,48,2
1,1,1,36,0,0,578,26,121,2
1,3,0,24,0,0,77,7,47,1
0,3,1,16,0,0,520,8,47,2
0,3,1,19,0,0,420,14,47,2
1,2,0,34,0,0,143,13,47,2
1,1,0,39,1,0,72,55,128,2
0,3,0,24,1,0,209,14,47,0
1,3,1,32,0,0,661,7,47,2
1,2,0,25,1,1,133,30,47,2
1,1,0,39,1,1,83,110,75,0
0,2,1,54,0,0,226,26,47,2
0,1,1,36,0,0,68,40,0,0
0,3,1,24,0,0,291,8,47,0
1,1,0,18,0,2,1,79,135,2
0,2,1,47,0,0,129,15,47,2
1,1,1,60,1,1,74,79,29,0
0,3,1,22,0,0,79,8,47,2
0,3,1,24,0,0,515,8,47,2
0,3,1,35,0,0,656,7,47,2
1,1,0,52,1,0,454,78,96,0
0,3,1,47,0,0,532,7,47,2
0,3,0,24,0,2,434,7,47,1
0,2,1,37,1,0,626,26,47,2
0,3,1,36,1,1,307,24,47,2
1,2,0,24,0,0,155,33,47,2
0,3,1,49,0,0,574,0,47,2
0,3,1,24,0,0,192,7,47,0
1,1,1,49,1,0,584,56,4,0
1,2,0,24,2,1,142,27,47,2
0,3,1,24,0,0,360,7,47,2
0,1,1,24,0,0,46,42,47,2
0,3,1,44,0,0,430,8,47,2
1,1,1,35,0,0,9,26,47,0
0,3,1,36,1,0,396,15,47,2
0,3,1,30,0,0,385,7,47,2
1,1,1,27,0,0,50,30,47,2
1,2,0,22,1,2,634,41,47,0
1,1,0,40,0,0,588,153,57,2
0,3,0,39,1,5,333,31,47,2
0,3,1,24,0,0,638,7,47,2
1,3,0,24,1,0,444,15,47,1
0,3,1,24,0,0,467,7,47,1
0,3,1,35,0,0,431,8,47,2
1,2,0,24,1,2,106,65,47,2
0,3,1,34,1,1,331,14,47,2
0,3,0,26,1,0,536,16,47,2
1,2,0,4,2,1,114,39,144,2
0,2,1,26,0,0,253,10,47,2
0,3,1,27,1,0,188,14,47,0
1,1,1,42,1,0,56,52,95,2
1,3,1,20,1,1,187,15,47,0
0,3,1,21,0,0,400,7,47,2
0,3,1,21,0,0,495,16,47,2
0,1,1,61,0,0,455,32,110,2
0,2,1,57,0,0,104,12,47,1
1,1,0,21,0,0,71,77,114,2
0,3,1,26,0,0,369,7,47,2
0,3,1,24,0,0,286,7,47,1
1,1,1,80,0,0,218,30,5,2
0,3,1,51,0,0,345,7,47,2
1,1,1,32,0,0,70,30,33,0
0,1,1,24,0,0,13,0,47,2
0,3,0,9,3,2,337,27,47,2
1,2,0,28,0,0,130,13,47,2
0,3,1,32,0,0,664,7,47,2
0,2,1,31,1,1,556,26,47,2
0,3,0,41,0,5,249,39,47,2
0,3,1,24,1,0,476,16,47,2
0,3,1,20,0,0,409,7,47,2
1,1,0,24,0,0,581,69,24,0
0,3,0,2,3,2,337,27,47,2
1,3,1,24,0,0,80,56,47,2
1,3,0,0,2,1,194,19,47,0
1,1,1,48,1,0,587,76,101,0
0,3,1,19,0,0,373,7,47,2
1,1,1,56,0,0,69,35,7,0
0,3,1,24,0,0,620,7,47,2
1,3,0,23,0,0,567,7,47,2
0,3,1,24,0,0,366,7,47,2
1,2,0,18,0,1,117,23,47,2
0,3,1,21,0,0,512,8,47,2
1,3,0,24,0,0,277,7,47,1
0,3,0,18,0,0,439,6,47,1
0,2,1,24,2,0,621,73,47,2
0,3,1,24,0,0,368,7,47,2
0,3,0,32,1,1,435,15,47,1
0,2,1,23,0,0,241,13,47,2
0,1,1,58,0,2,416,113,108,0
1,1,1,50,2,0,605,133,47,2
0,3,1,40,0,0,172,7,47,0
0,1,1,47,0,0,496,25,132,2
0,3,1,36,0,0,357,7,47,2
1,3,1,20,1,0,660,7,47,2
0,2,1,32,2,0,621,73,47,2
0,2,1,25,0,0,123,13,47,2
0,3,1,24,0,0,256,7,47,2
0,3,1,43,0,0,529,8,47,2
1,1,0,24,1,0,99,52,58,2
1,2,0,40,1,1,240,39,47,2
0,1,1,31,1,0,569,52,38,2
0,2,1,70,0,0,550,10,47,2
1,2,1,31,0,0,145,13,47,2
0,2,1,24,0,0,138,0,47,2
0,3,1,18,0,0,397,7,47,2
0,3,1,24,0,0,294,8,47,2
1,3,0,18,0,0,493,9,47,2
0,3,0,43,1,6,566,46,47,2
1,1,1,36,0,1,608,512,34,0
0,3,0,24,0,0,281,8,47,1
1,1,1,27,0,0,587,76,109,0
0,3,1,20,0,0,500,9,47,2
0,3,1,14,5,2,566,46,47,2
0,2,1,60,1,1,240,39,47,2
0,2,1,25,1,2,634,41,47,0
0,3,1,14,4,1,249,39,47,2
0,3,1,19,0,0,372,10,47,2
0,3,1,18,0,0,403,7,47,2
1,1,0,15,0,1,141,211,32,2
1,1,1,31,1,0,89,57,19,2
1,3,0,4,0,1,393,13,47,0
1,3,1,24,0,0,80,56,47,2
0,3,1,25,0,0,200,7,47,0
0,1,1,60,0,0,48,26,47,2
